Year,Country,Age Group,F,M
2018,URY,10-14,6.512909565,-7.299383161
2018,URY,15-19,6.882242748,-7.664850738
2018,URY,20-24,7.11906665,-7.889980207
2018,URY,25-29,7.015032292,-7.728324158
2018,URY,30-34,6.448000197,-6.983937682
2018,URY,35-39,6.378158166,-6.773220342
2018,URY,40-44,6.602033827,-6.952951604
2018,URY,45-49,6.034833573,-6.237629589
2018,URY,50-54,5.711688058,-5.673034426
2018,URY,55-59,5.704513275,-5.520506058
2018,URY,60-64,5.135014848,-4.809747884
2018,URY,65-69,4.404980645,-3.920819762
2018,URY,70-74,3.833688522,-3.089480106
2018,URY,75-79,3.170077118,-2.23123781
2018,URY,80+,6.07614463,-2.713383584
