"","year","country","c_name","area","income"
"141",2005,"COL","Colombia","Rural",110150.768741909
"142",2005,"CRI","Costa Rica","Rural",126894.576247885
"143",2005,"DOM","Dominican Republic","Rural",6737.85766286369
"144",2005,"ECU","Ecuador","Rural",133.107467580862
"145",2005,"MEX","Mexico","Rural",1575.51286405345
"146",2005,"PER","Peru","Rural",85.5728252463258
"147",2005,"PRY","Paraguay","Rural",647994.465459532
"148",2005,"SLV","El Salvador","Rural",130.398874899512
"149",2006,"ARG","Argentina","Urban",404.752144347423
"150",2006,"BOL","Bolivia","Urban",1338.58680415892
"151",2006,"BRA","Brazil","Urban",927.844623670465
"152",2006,"CHL","Chile","Urban",311187.877828197
"153",2006,"CRI","Costa Rica","Urban",222890.87081745
"154",2006,"DOM","Dominican Republic","Urban",10797.4292639368
"155",2006,"ECU","Ecuador","Urban",286.917218543046
"156",2006,"GTM","Guatemala","Urban",2217.03460488454
"157",2006,"MEX","Mexico","Urban",4086.59372479134
"158",2006,"PER","Peru","Urban",280.343709258372
"159",2006,"PRY","Paraguay","Urban",1235730.83450763
"160",2006,"SLV","El Salvador","Urban",253.016133016863
"161",2006,"URY","Uruguay","Urban",2982.40030981827
"162",2006,"BOL","Bolivia","Rural",363.11872833636
"163",2006,"BRA","Brazil","Rural",470.02682937772
"164",2006,"CHL","Chile","Rural",247418.919712352
"165",2006,"CRI","Costa Rica","Rural",151000.901814845
"166",2006,"DOM","Dominican Republic","Rural",7004.69163611674
"167",2006,"ECU","Ecuador","Rural",148.921531240833
"168",2006,"GTM","Guatemala","Rural",1253.14190944286
"169",2006,"MEX","Mexico","Rural",1641.6970536655
"170",2006,"PER","Peru","Rural",96.7892959913457
"171",2006,"PRY","Paraguay","Rural",602960.31640418
"172",2006,"SLV","El Salvador","Rural",137.919057275522
"173",2006,"URY","Uruguay","Rural",2893.11166729084
"174",2007,"ARG","Argentina","Urban",543.318347371736
"175",2007,"BOL","Bolivia","Urban",1411.83038332976
"176",2007,"BRA","Brazil","Urban",1001.28883817171
"177",2007,"CRI","Costa Rica","Urban",271195.487128713
"178",2007,"DOM","Dominican Republic","Urban",10924.5391747538
"179",2007,"ECU","Ecuador","Urban",324.678073806331
"180",2007,"PER","Peru","Urban",331.372507974712
"181",2007,"PRY","Paraguay","Urban",1432355.82753865
"182",2007,"SLV","El Salvador","Urban",270.278010548545
"183",2007,"URY","Uruguay","Urban",4214.62450835786
"184",2007,"BOL","Bolivia","Rural",340.129418186262
"185",2007,"BRA","Brazil","Rural",522.175974557895
"186",2007,"CRI","Costa Rica","Rural",176564.474681205
"187",2007,"DOM","Dominican Republic","Rural",7423.2243467095
"188",2007,"ECU","Ecuador","Rural",161.820377479207
"189",2007,"PER","Peru","Rural",103.634037233637
"190",2007,"PRY","Paraguay","Rural",962875.36947966
"191",2007,"SLV","El Salvador","Rural",145.524952790979
"192",2007,"URY","Uruguay","Rural",3041.03044824381
"193",2008,"ARG","Argentina","Urban",643.235739241036
"194",2008,"BOL","Bolivia","Urban",1755.25263273716
"195",2008,"BRA","Brazil","Urban",1093.76378097402
"196",2008,"COL","Colombia","Urban",706532.246753832
"197",2008,"CRI","Costa Rica","Urban",308805.603914123
"198",2008,"DOM","Dominican Republic","Urban",11060.1884857372
"199",2008,"ECU","Ecuador","Urban",346.483479133003
"200",2008,"MEX","Mexico","Urban",4301.836206994
"201",2008,"PER","Peru","Urban",363.576363983493
"202",2008,"PRY","Paraguay","Urban",1454139.04615689
"203",2008,"SLV","El Salvador","Urban",284.165224754248
"204",2008,"URY","Uruguay","Urban",5130.99880320368
"205",2008,"BOL","Bolivia","Rural",474.476618207795
"206",2008,"BRA","Brazil","Rural",575.695690114898
"207",2008,"COL","Colombia","Rural",317734.20933329
"208",2008,"CRI","Costa Rica","Rural",211279.634807418
"209",2008,"DOM","Dominican Republic","Rural",7224.60377261978
"210",2008,"ECU","Ecuador","Rural",181.385023300659
"211",2008,"MEX","Mexico","Rural",1876.05798864073
"212",2008,"PER","Peru","Rural",124.960434300065
"213",2008,"PRY","Paraguay","Rural",1028462.22806081
"214",2008,"SLV","El Salvador","Rural",167.550759117279
"215",2008,"URY","Uruguay","Rural",3703.75053289198
"216",2009,"ARG","Argentina","Urban",760.595588600985
"217",2009,"BOL","Bolivia","Urban",1805.40144332501
"218",2009,"BRA","Brazil","Urban",1168.41048661638
"219",2009,"CHL","Chile","Urban",383634.230458805
"220",2009,"COL","Colombia","Urban",739004.017385105
"221",2009,"CRI","Costa Rica","Urban",354147.107973856
"222",2009,"DOM","Dominican Republic","Urban",12043.2938858436
"223",2009,"ECU","Ecuador","Urban",324.196951735817
